modulo_id,titulo,ordem,duracao_minutos,tipo
1,Aula 1: Soluta sapiente dolore qui,1,33,quiz
1,Aula 2: Ipsa quidem esse praesentium facere debitis,2,13,quiz
1,Aula 3: Et similique alias ducimus recusandae voluptatem,3,18,quiz
1,Aula 4: Hic perferendis perspiciatis autem beatae aut,4,7,quiz
1,Aula 5: Laboriosam molestiae sequi nam id veniam,5,33,video
1,Aula 6: Tempore optio error,6,13,texto
1,Aula 7: Inventore repellendus sunt voluptates perferendis,7,44,quiz
1,Aula 8: Sequi debitis nobis magnam,8,21,texto
1,Aula 9: Facilis cumque illo,9,37,quiz
1,Aula 10: Nisi molestiae iure,10,22,video
2,Aula 1: Iure magnam distinctio nihil dolor qui,1,11,texto
2,Aula 2: Aliquid praesentium a voluptatum,2,34,texto
2,Aula 3: Minus harum debitis perspiciatis,3,32,video
2,Aula 4: Autem nihil nostrum tenetur blanditiis fugiat,4,20,quiz
2,Aula 5: Incidunt quia recusandae,5,40,video
2,Aula 6: Asperiores molestias possimus pariatur,6,45,video
2,Aula 7: Doloribus tempora maiores,7,30,video
2,Aula 8: Similique optio consequuntur,8,43,texto
2,Aula 9: Aspernatur assumenda ratione earum assumenda,9,38,video
2,Aula 10: Totam ratione facilis,10,15,video
2,Aula 11: Blanditiis quis impedit,11,7,texto
2,Aula 12: Et ab distinctio porro nisi repudiandae,12,8,video
2,Aula 13: Aspernatur dolores error ratione fugit facere,13,37,texto
2,Aula 14: Eius delectus impedit eos,14,13,quiz
2,Aula 15: Ex minima dolorem,15,41,texto
3,Aula 1: Maiores tempora placeat,1,21,texto
3,Aula 2: Eum repellendus fuga tempore,2,41,texto
3,Aula 3: Fugiat molestias provident,3,12,video
3,Aula 4: Cumque cupiditate minima id magni iure,4,26,texto
3,Aula 5: Quaerat incidunt praesentium debitis rerum sequi,5,44,quiz
3,Aula 6: Vero deleniti molestias pariatur aliquam,6,10,video
3,Aula 7: Dolor mollitia voluptate,7,7,quiz
3,Aula 8: Molestiae soluta perspiciatis voluptas laboriosam,8,43,quiz
3,Aula 9: At quas tempore,9,30,texto
4,Aula 1: Labore ea consequatur recusandae nostrum porro,1,33,quiz
4,Aula 2: Nemo dolorum modi unde voluptatum dicta,2,15,quiz
4,Aula 3: Exercitationem exercitationem nesciunt unde,3,33,quiz
4,Aula 4: Perferendis ea nam suscipit odit corrupti,4,15,video
4,Aula 5: Perferendis vero saepe,5,29,video
4,Aula 6: Asperiores maxime sequi amet,6,14,quiz
5,Aula 1: Ducimus porro quidem ipsa possimus,1,40,texto
5,Aula 2: Dolorem vel totam ad exercitationem tempore,2,37,quiz
5,Aula 3: Ea nulla exercitationem dolorum,3,28,quiz
5,Aula 4: Illo fuga sit laudantium,4,5,quiz
5,Aula 5: Optio occaecati dignissimos quaerat,5,41,quiz
5,Aula 6: Molestiae hic pariatur numquam iure odit,6,6,texto
5,Aula 7: Velit temporibus iure sequi assumenda,7,32,quiz
5,Aula 8: Molestiae veritatis neque deleniti,8,28,texto
5,Aula 9: Culpa expedita neque dolores,9,41,quiz
5,Aula 10: Vel corporis deserunt maiores,10,8,quiz
5,Aula 11: Magnam minus dignissimos accusantium nisi,11,21,texto
5,Aula 12: Ipsum corrupti rerum ullam placeat corporis,12,11,video
5,Aula 13: Quas doloremque debitis,13,22,video
6,Aula 1: Error temporibus labore quas dolorem assumenda,1,14,quiz
6,Aula 2: Dolorem magnam maxime,2,41,texto
6,Aula 3: Saepe architecto ipsum magni,3,8,texto
6,Aula 4: Tempora corrupti excepturi doloribus deserunt,4,16,quiz
6,Aula 5: Quo doloribus voluptas dignissimos animi,5,20,video
6,Aula 6: Quis quibusdam id autem saepe consectetur,6,30,quiz
6,Aula 7: Dignissimos magnam quis,7,24,quiz
