matricula_id,curso_id,nota,comentario,data_avaliacao
1,17,3,Distinctio doloremque eaque enim optio accusamus libero. Aut quam assumenda non.,2025-05-26T21:26:11-03:00
5,9,4,Et minima impedit ipsa est. Impedit dolores ex tempora quia dolor perspiciatis consequuntur.,2025-09-26T11:20:52-03:00
16,29,3,Odit porro provident excepturi inventore. Sint deleniti tempora quam minima in.,2025-05-30T02:11:10-03:00
19,19,3,Tempora molestiae temporibus perferendis commodi ipsum consequuntur.,2025-03-06T05:38:00-03:00
41,8,5,Corporis iure perferendis officiis. Dolores quaerat soluta error libero debitis.,2025-04-07T23:51:26-03:00
48,5,5,Nam temporibus unde veritatis dicta est sit impedit. Explicabo nisi veniam velit.,2025-01-07T01:21:26-03:00
58,37,4,Voluptas voluptatem dicta ducimus. Libero officiis quidem.,2025-04-10T12:03:29-03:00
63,23,5,Eos laboriosam dolorem facere.,2025-07-09T07:23:30-03:00
68,17,4,Iure beatae laboriosam unde.,2025-09-30T16:49:46-03:00
72,15,5,Possimus voluptas assumenda iusto sunt adipisci esse. Eveniet debitis necessitatibus vel.,2025-07-17T15:52:57-03:00
78,14,3,Temporibus hic iure.,2025-06-24T21:40:35-03:00
88,22,5,Ipsa pariatur dignissimos quaerat voluptas adipisci recusandae. Tempora ea vero aspernatur ex libero.,2025-09-18T08:45:48-03:00
103,30,5,Eaque nobis quod ab omnis repellendus quisquam.,2025-01-29T15:18:41-03:00
109,50,5,Voluptate expedita accusantium ipsa magni quo cum. Ut natus delectus nobis dolore alias consectetur a.,2025-01-19T20:46:02-03:00
114,13,5,Laborum corrupti ipsum non est nostrum.,2024-11-10T23:52:07-03:00
118,44,4,Laudantium alias accusantium iure facilis quas ab tempore. Expedita alias sapiente aspernatur.,2024-10-27T23:47:50-03:00
122,6,5,Ipsa fuga veritatis dolore nobis quo aperiam. Delectus quisquam pariatur commodi nesciunt minus consequatur explicabo.,2025-02-12T03:06:08-03:00
126,32,3,Neque saepe eaque quidem autem exercitationem necessitatibus saepe.,2025-08-07T17:26:05-03:00
128,46,3,Quae sequi veniam ex qui cumque deleniti.,2025-01-03T15:19:20-03:00
142,9,3,Consectetur harum ex consequuntur nemo accusantium consequatur.,2025-08-21T18:38:28-03:00
144,45,5,Soluta ullam debitis dolore dolores ut.,2025-05-20T02:27:44-03:00
145,24,3,Consequatur ex saepe vero.,2024-11-28T05:52:47-03:00
155,35,4,Modi similique consectetur.,2024-11-17T15:50:10-03:00
158,10,4,Voluptate eius vitae atque.,2025-05-03T07:49:25-03:00
168,28,3,Fuga alias provident tempora officiis.,2024-10-23T17:48:13-03:00
169,13,4,Velit nulla excepturi optio.,2025-06-06T13:01:15-03:00
179,28,4,Debitis ea nulla soluta in ab ipsum placeat.,2024-12-04T16:20:43-03:00
188,30,3,Officia deserunt perferendis quibusdam commodi voluptatem. Sapiente ut ipsum cum maiores magnam in delectus.,2025-08-08T20:40:55-03:00
198,32,4,Laudantium error eius.,2025-04-29T18:54:55-03:00
