titulo,descricao,categoria_id,instrutor_id,preco,carga_horaria,nivel,data_criacao
Synergize Scalable Channels,Atque pariatur laboriosam veritatis commodi. Molestias ab nesciunt.,5,21,426.55,39,intermediario,2025-08-04T19:23:51-03:00
Cultivate Wireless Initiatives,Quidem asperiores quis et voluptatem. Minima asperiores est possimus. Et corrupti suscipit quas quis ea repellat quisquam.,1,18,317.32,24,iniciante,2024-11-14T20:57:07-03:00
Mesh Virtual Platforms,Atque commodi ipsam dolores quod placeat molestiae doloribus. Laboriosam unde recusandae porro occaecati eligendi. Ad nobis ratione soluta repellendus. Dolorem fugiat officiis dolores.,5,8,53.41,118,intermediario,2025-03-20T20:18:09-03:00
Syndicate Robust Schemas,Esse voluptatem voluptas. Hic deleniti voluptates dolor maiores dolorum incidunt iste. Mollitia numquam molestias harum tempore. Voluptatum ad dolor. Ratione earum exercitationem eveniet eveniet ipsa enim.,7,11,321.07,103,avancado,2024-05-08T12:34:57-03:00
Drive Strategic Infrastructures,Quo libero quos id quaerat corporis corporis. Nostrum consequatur sequi voluptatem libero natus optio. Adipisci enim accusantium adipisci sapiente inventore magni. Totam et est earum.,7,10,271.52,39,iniciante,2024-01-26T12:54:42-03:00
Streamline Bricks-And-Clicks Action-Items,Ut eum ea praesentium provident distinctio distinctio. Officiis tenetur dignissimos odit modi quisquam aut.,6,2,448.12,11,intermediario,2024-04-04T19:44:58-03:00
Enable Real-Time Vortals,Tempore architecto dignissimos rerum incidunt. Dolorem mollitia atque consectetur nulla error a.,6,17,350.57,60,intermediario,2024-02-26T02:43:10-03:00
Orchestrate Next-Generation Deliverables,Libero in incidunt quidem ullam. Architecto modi maxime quidem. Quo sit qui aliquid.,3,15,396.74,73,intermediario,2024-03-08T22:58:13-03:00
E-Enable Cross-Platform Paradigms,Ab beatae temporibus accusantium magnam. Delectus distinctio voluptate aperiam dolor placeat. Quod nulla neque.,2,11,421.48,64,iniciante,2025-02-24T14:08:57-03:00
Harness Robust Bandwidth,Ex nisi impedit hic iste sit. Commodi sint quos quo inventore.,7,23,75.26,39,avancado,2025-07-19T19:16:00-03:00
Unleash Out-Of-The-Box Action-Items,Maxime earum dignissimos facere facilis quis perspiciatis consectetur. Ullam modi praesentium dolores nulla. Dicta aliquam quidem pariatur inventore voluptatem fugit mollitia. Placeat distinctio iusto quae a quasi.,3,17,255.04,113,intermediario,2024-05-31T04:38:12-03:00
Innovate Clicks-And-Mortar Networks,Amet distinctio itaque esse dignissimos tempore. Natus ratione voluptatem quae nemo rerum ea. Aspernatur laboriosam fugiat in nam quas doloremque.,5,22,423.6,30,intermediario,2024-09-11T16:21:36-03:00
Cultivate 24/7 Models,Officiis earum ea laboriosam iste. Quidem aliquam tenetur ut alias est quaerat. Aperiam nam unde quisquam quos. Aperiam ipsum quasi autem.,2,18,473.97,46,iniciante,2024-08-26T07:05:44-03:00
Drive Integrated Synergies,Dignissimos odit voluptas. Adipisci reprehenderit hic excepturi. Ipsum placeat beatae quia perspiciatis commodi a. A nam tempore totam magni excepturi nam.,3,21,495.43,110,intermediario,2023-12-17T12:33:52-03:00
Empower Frictionless E-Markets,Quos cupiditate officia quidem ullam. Quisquam quia exercitationem quo eum accusamus quae. Iste nemo repellat sint explicabo magnam natus. Ratione voluptate in fugit in vitae consequuntur dolorum.,4,6,298.51,15,iniciante,2024-05-19T11:20:31-03:00
Brand Killer Convergence,Veniam libero eveniet quisquam eveniet ipsum quae. Dolorem numquam quam debitis quaerat doloribus. Dolor tempora vitae similique deleniti error. Sapiente asperiores explicabo.,6,19,84.21,84,iniciante,2024-02-13T18:59:54-03:00
E-Enable Cross-Platform Methodologies,Inventore sint reiciendis iusto neque nobis commodi. Suscipit magni amet ipsum.,6,9,255.77,86,avancado,2024-08-10T15:04:26-03:00
Strategize Synergistic E-Commerce,Dignissimos quasi ipsam incidunt voluptates nulla laboriosam. Deleniti numquam odit voluptatibus soluta asperiores adipisci. Nemo rerum distinctio occaecati nesciunt quam.,1,5,404.73,73,iniciante,2025-04-26T21:22:31-03:00
Benchmark Magnetic Mindshare,Velit optio voluptatum et at nulla ducimus. Ullam facilis rerum quo quod doloremque perspiciatis. Quas doloribus tempora quibusdam consequuntur ad repellat. Ut quia quibusdam laborum quibusdam quis et mollitia.,3,19,346.59,13,avancado,2024-01-03T15:32:19-03:00
Brand Extensible Mindshare,Voluptates minus accusamus architecto enim eos enim. Sint recusandae qui minus. Nam dolore distinctio vero sint. Odio iure quasi delectus vero.,2,24,329.66,84,intermediario,2024-01-28T13:43:34-03:00
Grow Out-Of-The-Box Schemas,Voluptas eveniet quaerat ratione. Amet id aut consectetur cumque quisquam magnam.,3,10,493.73,49,avancado,2025-10-06T10:25:55-03:00
Redefine Dot-Com Web-Readiness,Itaque eveniet error atque commodi maxime mollitia exercitationem. Ratione tenetur saepe voluptatem amet deleniti provident. Omnis nemo dolorem exercitationem nemo rerum aut. Facere sed rem expedita repudiandae.,2,25,370.14,92,avancado,2024-05-01T18:52:07-03:00
Transition Clicks-And-Mortar Experiences,Quam corporis veritatis iure. Optio doloribus vitae architecto. Consectetur sunt porro cupiditate. Voluptatum voluptatibus aliquid rerum repellat aspernatur.,5,17,381.25,57,intermediario,2025-03-22T12:51:26-03:00
Reinvent Scalable Convergence,Nihil iure nihil eos. Rem eum saepe suscipit et. Numquam nulla provident. Enim amet corrupti officiis harum provident necessitatibus.,3,14,51.05,29,intermediario,2024-11-07T15:00:11-03:00
Maximize Global Portals,Dicta placeat quos vitae aliquam tenetur. Atque sint deleniti dolorem. Repellendus modi cum nisi at officia. Voluptas sit iure dignissimos.,3,8,216.28,57,avancado,2023-12-17T09:43:08-03:00
Innovate Collaborative Interfaces,Veniam sequi magnam reiciendis quos doloremque. Necessitatibus alias voluptatum molestiae quibusdam molestiae numquam vitae. Quis nemo sed repellat officia ex sint.,5,25,221.35,71,iniciante,2024-01-18T16:02:38-03:00
Facilitate Ubiquitous Technologies,Neque officiis consectetur iste facilis quod. Molestias explicabo a eum animi. Tempora rerum pariatur quas minus eos sunt mollitia. Accusamus aspernatur officia molestiae dignissimos totam.,5,1,84.62,89,iniciante,2025-04-09T10:00:29-03:00
Evolve Real-Time Bandwidth,Necessitatibus aperiam doloremque. Perferendis corrupti facilis inventore laboriosam nobis. Cum tempora minima. Sequi perferendis occaecati dolores distinctio mollitia deleniti. Rem nobis vero numquam.,2,7,396.1,83,iniciante,2025-08-18T01:04:37-03:00
Unleash Mission-Critical Roi,Veniam aspernatur illo recusandae laborum. Unde ex corrupti laboriosam unde voluptates. Facilis harum beatae. Esse assumenda dicta molestiae eos expedita laborum.,4,25,198.6,110,avancado,2025-07-02T00:12:55-03:00
Maximize Integrated Channels,Architecto dolor expedita porro perferendis aut. Porro veniam autem aliquam earum.,3,8,282.92,118,iniciante,2024-08-14T00:32:14-03:00
Productize Ubiquitous Portals,Repudiandae praesentium odit quidem error voluptatum vitae. Soluta corrupti tempore facilis. Quod eaque fugit illo labore.,7,7,256.87,106,avancado,2025-10-02T12:04:20-03:00
Target Leading-Edge Roi,Corporis vitae neque maiores voluptas exercitationem. Sint tenetur a mollitia. Asperiores consectetur aliquid. Libero vitae recusandae modi alias ipsa adipisci.,4,18,492.23,55,intermediario,2025-09-13T16:48:41-03:00
Enable Best-Of-Breed Networks,Consectetur in rem culpa enim. Neque id perferendis similique ipsum distinctio possimus. Eius voluptatem tempore architecto eveniet maxime. Perferendis temporibus reprehenderit ipsa. Nisi praesentium similique velit fugit architecto.,6,2,72.21,90,intermediario,2024-10-11T16:47:13-03:00
Architect Front-End Web Services,Consequatur nemo et excepturi numquam sed praesentium. Quam laborum voluptates sapiente omnis quis.,5,24,437.04,29,iniciante,2023-11-07T01:07:08-03:00
Harness Distributed Portals,Quo ad ullam molestias ducimus iusto. Occaecati aspernatur distinctio. Quas unde sequi non quos.,5,23,208.06,97,avancado,2024-01-23T23:31:34-03:00
Disintermediate Virtual Content,Harum sequi neque libero eveniet odio. Cupiditate laudantium dolores enim. Voluptatem architecto cupiditate vitae. Molestias id odio id minus magnam fugiat.,3,12,221.83,92,avancado,2023-12-31T22:25:37-03:00
Streamline Turn-Key E-Tailers,Exercitationem quod amet fuga. Rem nam animi voluptatem soluta quo sunt.,5,24,301.73,38,iniciante,2024-06-09T04:49:46-03:00
Transition Extensible E-Commerce,Illo labore asperiores cupiditate eos eius cupiditate. Amet tenetur dignissimos quos est voluptatibus repellendus. Debitis reprehenderit ipsam.,6,23,227.97,110,iniciante,2024-05-20T14:11:01-03:00
Seize Integrated Solutions,Nulla quia magni. Numquam reprehenderit illo. Veritatis alias incidunt autem. Nisi culpa vero.,6,19,193.78,92,iniciante,2024-09-15T06:55:58-03:00
Whiteboard Integrated Methodologies,Repudiandae vel libero nesciunt laudantium perspiciatis. Vitae ducimus omnis minus provident.,2,20,256.95,38,intermediario,2024-05-24T17:04:33-03:00
Benchmark Visionary E-Tailers,Esse voluptatem amet accusantium quod voluptatibus illum. Animi aut aliquid molestias quasi. Quidem at hic consectetur.,7,2,145.5,55,iniciante,2023-12-15T02:44:16-03:00
Engineer Wireless Communities,Dolores porro neque aut. Cumque eos eos consequuntur hic ratione quia. Error possimus officia cum natus id repellat quos. Magni assumenda dolorum.,1,4,118.61,76,avancado,2024-12-25T09:11:42-03:00
Integrate One-To-One Synergies,Libero illo error labore nesciunt. Neque labore ipsam quo.,1,21,303.0,23,intermediario,2024-09-24T16:40:21-03:00
Incentivize Cross-Platform Models,Vel asperiores deleniti voluptatibus iusto voluptate animi. Magnam ex quo enim magnam perspiciatis magni libero. Sapiente occaecati tempore porro dolore.,6,19,122.62,57,avancado,2024-07-28T09:56:43-03:00
Brand Viral Relationships,Rerum sint officia ullam qui odit molestiae. Deserunt velit nostrum iste eligendi quasi. Quidem odio sit totam.,2,19,88.91,74,intermediario,2023-11-28T21:28:09-03:00
Redefine B2C Functionalities,Odit tempora id fuga dolorum ducimus. Sunt odio voluptas sint unde consectetur et dignissimos. Ducimus sint nihil nostrum laborum voluptate. Earum ullam ea. Corporis similique reiciendis esse.,1,10,371.67,32,intermediario,2025-05-17T00:43:17-03:00
Monetize Out-Of-The-Box Paradigms,Laborum expedita quidem soluta consequatur soluta doloribus. Eligendi quae voluptatem nobis voluptatibus necessitatibus. Voluptatem harum iste dignissimos. Nam sint aliquam voluptates ullam repellat. Magni modi eius soluta.,4,23,240.07,55,iniciante,2025-06-08T17:40:41-03:00
Harness Intuitive Deliverables,Fuga minus quaerat ex ullam soluta inventore. Dolorem molestiae necessitatibus sequi repudiandae facilis sunt. Eligendi ullam libero repudiandae ipsam fugit neque. Nam ducimus rem id iure. Nam corporis doloremque et.,7,3,364.26,35,iniciante,2025-01-18T08:21:43-03:00
Extend Virtual Networks,Explicabo officiis consectetur quo laboriosam dicta voluptas. Cum magni maxime exercitationem exercitationem expedita. Aut expedita fugit amet ex. Necessitatibus occaecati voluptatum enim.,4,13,96.69,116,iniciante,2024-12-28T15:06:04-03:00
Expedite Rich Eyeballs,Porro labore aspernatur qui alias explicabo quisquam distinctio. Voluptas ab veniam molestiae. Eius iure similique enim distinctio cum rerum. Aperiam sunt officiis. Consectetur repellat repellendus consequatur voluptatibus commodi.,1,22,403.16,69,intermediario,2024-11-21T01:15:04-03:00
