aluno_id,curso_id,data_matricula,data_conclusao,status
97,17,2024-12-24,2025-02-10,concluida
45,19,2024-03-26,,ativa
35,14,2025-06-07,,cancelada
27,32,2024-10-27,,pendente
81,9,2024-05-22,2024-06-08,concluida
48,49,2025-01-19,,cancelada
87,6,2023-11-07,,cancelada
79,27,2024-08-08,,ativa
54,4,2025-08-22,,pendente
96,48,2025-02-23,,ativa
50,7,2024-09-13,,ativa
100,14,2025-04-01,,ativa
22,49,2023-11-11,2025-05-06,concluida
25,25,2025-02-24,,cancelada
97,45,2024-09-09,,cancelada
72,29,2025-07-23,2025-08-11,concluida
72,33,2024-12-01,,pendente
50,23,2023-11-28,,cancelada
62,19,2024-12-06,2025-10-10,concluida
28,32,2025-10-12,,ativa
34,37,2025-06-21,2025-09-20,concluida
17,30,2024-05-13,,cancelada
96,33,2024-11-14,,pendente
98,4,2024-04-30,2024-08-02,concluida
48,39,2025-08-04,,ativa
61,41,2024-01-08,,cancelada
3,18,2024-09-14,,ativa
59,18,2024-08-06,,cancelada
28,43,2025-08-19,,cancelada
29,49,2025-09-30,,cancelada
82,21,2025-03-26,,ativa
36,3,2023-11-15,,cancelada
82,33,2024-11-06,,pendente
24,27,2024-03-06,,ativa
9,17,2024-06-19,,pendente
67,14,2023-11-10,,ativa
21,12,2023-11-24,,cancelada
56,37,2025-05-19,,ativa
86,31,2025-04-15,2025-05-18,concluida
72,35,2024-09-03,,ativa
89,8,2025-04-24,2025-08-28,concluida
6,37,2024-11-19,,pendente
62,11,2025-09-01,,ativa
82,14,2025-09-03,,cancelada
100,46,2024-12-23,2025-03-25,concluida
5,35,2023-11-16,2025-04-28,concluida
19,43,2023-10-27,,pendente
7,5,2023-11-04,2024-11-02,concluida
54,31,2024-05-14,,ativa
79,46,2024-07-27,,ativa
30,18,2024-12-07,,pendente
43,35,2025-01-16,,pendente
82,13,2025-07-02,,cancelada
5,34,2024-12-04,,cancelada
58,16,2024-09-01,,ativa
49,23,2025-02-11,,cancelada
31,20,2025-06-08,,cancelada
41,37,2023-11-24,2024-10-23,concluida
62,40,2024-04-18,2024-06-30,concluida
91,33,2025-08-19,,ativa
69,14,2025-04-18,,ativa
41,14,2025-05-15,2025-07-26,concluida
47,23,2025-06-21,2025-09-18,concluida
45,41,2025-05-10,2025-06-24,concluida
54,17,2025-02-27,,ativa
51,33,2024-06-21,2025-07-07,concluida
8,2,2024-08-14,,cancelada
19,17,2024-03-16,2025-03-28,concluida
88,9,2025-04-16,2025-07-03,concluida
74,42,2024-01-16,,cancelada
55,22,2024-01-06,,cancelada
73,15,2024-04-04,2025-08-02,concluida
27,24,2023-11-15,,pendente
95,50,2025-06-22,,pendente
89,43,2024-12-30,,ativa
9,31,2025-08-21,,cancelada
82,5,2025-05-17,,cancelada
80,14,2025-09-30,2025-10-02,concluida
12,20,2023-11-26,,cancelada
97,26,2025-08-10,,ativa
76,38,2025-06-24,,cancelada
95,37,2024-07-30,,cancelada
45,43,2023-11-04,2025-09-28,concluida
22,43,2023-12-17,,cancelada
76,49,2025-04-06,,pendente
54,45,2024-03-16,,cancelada
90,42,2024-06-09,,cancelada
26,22,2024-03-29,2025-07-06,concluida
3,39,2025-10-15,,ativa
20,28,2024-04-01,,pendente
13,17,2023-10-28,,ativa
27,22,2025-04-22,,pendente
19,20,2023-11-12,,pendente
11,5,2024-12-28,,pendente
53,31,2024-05-22,,pendente
9,11,2025-06-26,,cancelada
79,14,2024-08-22,,pendente
97,31,2025-02-13,,pendente
95,20,2023-11-02,,pendente
48,36,2025-05-27,,pendente
44,50,2024-09-29,,pendente
4,32,2023-11-26,2025-09-16,concluida
34,30,2025-06-08,2025-06-11,concluida
53,39,2024-11-24,2025-08-21,concluida
38,50,2025-05-18,,pendente
92,38,2025-07-14,2025-10-11,concluida
72,22,2023-11-20,,ativa
15,18,2024-07-08,,cancelada
9,50,2025-08-26,2025-09-30,concluida
37,3,2024-04-29,,ativa
92,7,2025-05-28,,cancelada
16,37,2023-11-26,,ativa
49,34,2024-09-25,,pendente
12,13,2025-10-08,2025-10-15,concluida
2,41,2024-10-31,,ativa
13,8,2024-08-11,,ativa
10,12,2024-11-21,,ativa
80,44,2023-12-12,2024-07-17,concluida
88,13,2023-12-14,,pendente
96,5,2025-09-20,,cancelada
82,42,2024-05-17,,pendente
22,6,2024-03-13,2024-06-29,concluida
59,27,2024-03-06,2025-04-16,concluida
57,49,2024-03-16,,pendente
84,17,2024-10-30,,cancelada
48,32,2025-01-31,2025-07-05,concluida
44,42,2024-09-16,,pendente
94,46,2025-03-02,2025-09-04,concluida
15,14,2024-08-14,2025-10-05,concluida
92,17,2025-08-17,,ativa
78,28,2025-01-27,,pendente
60,34,2025-06-04,2025-08-18,concluida
46,46,2024-01-13,,cancelada
89,2,2025-10-04,,cancelada
11,1,2023-12-18,2024-11-14,concluida
98,19,2024-09-27,,cancelada
1,45,2025-09-18,2025-09-25,concluida
39,35,2024-03-07,,pendente
60,22,2025-07-22,,cancelada
63,43,2024-12-01,,cancelada
45,10,2023-11-30,,pendente
62,9,2025-05-06,2025-07-31,concluida
27,15,2025-03-18,,cancelada
73,45,2024-07-10,2025-09-05,concluida
42,24,2024-12-06,2025-08-05,concluida
51,41,2025-08-01,,ativa
16,21,2025-01-24,,pendente
10,6,2025-08-12,,pendente
60,47,2025-04-18,,pendente
40,1,2024-01-19,,cancelada
