curso_id,titulo,ordem,descricao
1,Módulo 1: Porro,1,Neque maxime hic quis dicta distinctio assumenda cupiditate dolores.
1,Módulo 2: Officia assumenda omnis nihil,2,Eius quisquam totam laborum nesciunt culpa ex eos perferendis.
1,Módulo 3: Tempore perspiciatis exercitationem,3,Totam earum eaque at expedita iure nemo.
1,Módulo 4: Assumenda natus tempora,4,Aperiam nam animi totam nesciunt odio provident.
1,Módulo 5: Aliquam praesentium eius,5,Omnis consequuntur atque eos accusamus sequi omnis aspernatur dicta alias.
1,Módulo 6: Aspernatur quos est,6,Incidunt pariatur accusamus harum iusto aut in magni ullam.
1,Módulo 7: Consequuntur corrupti,7,Quo blanditiis aliquid blanditiis quidem minima accusantium incidunt itaque accusamus dolores.
1,Módulo 8: Similique accusamus aspernatur eius,8,Aliquid voluptate enim tenetur optio necessitatibus perferendis rem beatae est qui sapiente optio.
2,Módulo 1: Temporibus iste fugiat repudiandae,1,Cumque repellat minus fugiat distinctio consectetur adipisci temporibus eos.
2,Módulo 2: Facere aperiam modi,2,Animi animi dicta eum ab consequuntur dolore cumque aliquam.
2,Módulo 3: Nesciunt vero,3,Ab libero animi dicta perspiciatis quis tempore eius ratione.
3,Módulo 1: Aliquam quis temporibus placeat,1,Ex rerum deleniti dolorum ipsa corporis nam.
3,Módulo 2: Dignissimos itaque in,2,Optio aliquid sapiente suscipit iusto explicabo repellat quam explicabo fuga aperiam.
3,Módulo 3: Quasi inventore quisquam,3,Fugit vel omnis beatae optio nostrum laboriosam deserunt recusandae earum vel facilis ipsum.
3,Módulo 4: Voluptates iure necessitatibus,4,Et numquam fugiat natus aliquam eveniet hic doloremque corrupti optio vero.
4,Módulo 1: Officiis deleniti,1,Officiis ratione officiis quod nemo sed provident deserunt odit laudantium officiis mollitia harum.
4,Módulo 2: Fugiat ducimus similique,2,Sapiente dolore officiis ab labore perferendis.
4,Módulo 3: Consectetur vel,3,Pariatur asperiores nihil ut rerum aliquid autem earum ab doloremque deleniti.
4,Módulo 4: Perferendis,4,Similique optio voluptatum in saepe nostrum blanditiis ex voluptas porro nobis harum.
4,Módulo 5: Harum at veritatis,5,Modi soluta enim nobis velit repellendus dolorem culpa nulla officiis incidunt adipisci tempore.
4,Módulo 6: Maxime nostrum facere,6,Deleniti molestias quis atque voluptatibus mollitia aut numquam reiciendis tempore fugiat cupiditate.
5,Módulo 1: Asperiores,1,Dicta soluta deserunt et animi sequi corporis.
5,Módulo 2: Esse iusto minus,2,Autem ea maiores voluptatum atque beatae ea officiis iure.
5,Módulo 3: Quidem possimus,3,Ea sint exercitationem eaque unde minima et sequi doloribus doloribus assumenda accusantium voluptates ex.
5,Módulo 4: Odio natus eligendi,4,Aut placeat sint doloremque maxime mollitia impedit eos vero.
5,Módulo 5: Asperiores suscipit,5,Nesciunt veritatis quos libero explicabo autem ducimus tenetur incidunt.
5,Módulo 6: Distinctio ab,6,Suscipit accusantium quidem id at dolorem veritatis.
5,Módulo 7: Dolorem officia voluptates voluptas,7,Aliquid saepe ab laborum esse laborum itaque illum assumenda porro consectetur reiciendis ipsum veritatis.
5,Módulo 8: Pariatur nisi ratione,8,Similique laboriosam velit veritatis illo rerum.
6,Módulo 1: Recusandae voluptatibus saepe,1,Libero voluptates sequi accusamus sint soluta ut modi error amet nihil unde a.
6,Módulo 2: Inventore perferendis,2,Maxime alias voluptas adipisci adipisci magnam.
6,Módulo 3: Animi dignissimos expedita,3,Aperiam ipsum consequuntur assumenda iure fugiat repudiandae asperiores mollitia modi omnis quia exercitationem.
7,Módulo 1: Perferendis voluptatem,1,Ipsam laboriosam corporis eum nam eaque deleniti amet.
7,Módulo 2: Corrupti molestiae,2,Laboriosam incidunt quos odio aspernatur iusto officia ipsam sed qui.
7,Módulo 3: Quibusdam blanditiis,3,Voluptatem voluptas eveniet alias commodi enim perferendis.
7,Módulo 4: Dignissimos incidunt,4,Voluptatem earum distinctio numquam suscipit minus.
7,Módulo 5: Nulla atque,5,At et in dignissimos nulla rem itaque ipsum beatae itaque.
7,Módulo 6: Blanditiis dolor,6,Quis quo voluptatum veritatis vel perspiciatis quia nemo aperiam harum ipsa.
7,Módulo 7: Incidunt iusto quos,7,Molestias molestiae nostrum a esse sed beatae odio eum at corrupti quasi eligendi.
8,Módulo 1: Omnis laborum,1,Aliquam sunt optio dolores velit eum nisi hic minus aspernatur delectus.
8,Módulo 2: Animi incidunt,2,Deleniti omnis repellendus porro id voluptatum aut aliquam itaque magni.
8,Módulo 3: Nesciunt aliquam ipsam,3,Commodi dolore placeat dolore esse vel porro aperiam corrupti molestias facere labore perspiciatis quia.
8,Módulo 4: Laboriosam aspernatur,4,Minus vero vel aliquid sequi maxime consequuntur labore aliquam distinctio.
8,Módulo 5: Esse voluptatibus corporis,5,Sapiente quis fuga rerum dolorum quasi cupiditate quae laborum saepe.
8,Módulo 6: Tempora aliquid,6,Debitis sunt voluptatem repellat mollitia quisquam quo.
8,Módulo 7: Quia quas sapiente,7,Repellendus a minus suscipit fugiat assumenda.
8,Módulo 8: Aspernatur repudiandae aspernatur,8,Esse molestiae at accusantium sapiente ea saepe voluptatibus libero.
9,Módulo 1: Laboriosam aspernatur odio provident,1,Harum repellat explicabo dolorem quasi nam dolores tenetur ut fuga.
9,Módulo 2: Delectus exercitationem,2,Ad asperiores sapiente architecto neque molestias recusandae ad.
9,Módulo 3: Ipsam adipisci earum,3,Quia magnam sapiente et cupiditate est consequatur laborum.
9,Módulo 4: Doloribus soluta quibusdam,4,Harum quod et quos esse tempore blanditiis architecto.
9,Módulo 5: Ipsam libero accusantium,5,Accusamus totam delectus saepe nisi maiores deserunt tempora similique exercitationem sint vero.
9,Módulo 6: Laborum dolorum deserunt,6,Saepe nisi non aperiam cum aliquid nam autem.
9,Módulo 7: Labore aspernatur,7,Accusantium ipsam veritatis animi nihil dolorem repellendus quos.
9,Módulo 8: Rerum quas id,8,Totam blanditiis incidunt dolor eius rerum eaque iusto temporibus.
10,Módulo 1: Tenetur animi architecto,1,Quas veritatis dolor error natus eveniet alias repellendus iste quo.
10,Módulo 2: Doloremque asperiores,2,Veniam possimus reprehenderit quaerat iusto autem eaque facere sequi veniam quibusdam necessitatibus minus.
10,Módulo 3: Mollitia eveniet beatae,3,Ex neque voluptatibus corporis perspiciatis velit quas voluptas fugiat doloremque excepturi totam architecto.
11,Módulo 1: Illum ipsa,1,Pariatur laborum aut quas ad aut neque.
11,Módulo 2: Incidunt tenetur,2,Voluptatum excepturi excepturi dolorem vitae dolores temporibus nisi vel officia error voluptas.
11,Módulo 3: Architecto iure nulla illo,3,Quaerat impedit doloremque iste reprehenderit nihil ipsa.
11,Módulo 4: Inventore,4,Pariatur rem voluptatibus suscipit et similique architecto at.
12,Módulo 1: Minima amet,1,Aliquam ex unde nobis quo velit natus aut voluptates eius vel saepe.
12,Módulo 2: Ipsam iusto commodi,2,Laudantium odio quia maiores repudiandae molestiae mollitia laboriosam laborum eveniet et porro.
12,Módulo 3: Vitae cumque,3,Assumenda repellat temporibus aliquam error nostrum commodi nisi sit.
12,Módulo 4: Porro rem sunt quae,4,At vel amet laborum eligendi laborum doloremque perspiciatis fugit nemo minima.
12,Módulo 5: Voluptatem eos,5,Quisquam cumque reiciendis ipsam voluptates numquam magnam consectetur.
12,Módulo 6: Libero maiores,6,Iste eum impedit exercitationem quo quos architecto officia sed necessitatibus facilis libero aperiam.
13,Módulo 1: Consequuntur nihil,1,Deleniti corrupti eos tenetur nam tempora omnis perspiciatis autem.
13,Módulo 2: Aliquam voluptates,2,Ipsam accusamus fugiat eligendi dolorem quibusdam neque odio ratione sed commodi.
13,Módulo 3: Quisquam et,3,Labore rem illum laudantium ullam officia.
13,Módulo 4: Adipisci voluptates,4,Nihil maiores amet placeat aliquam animi nam quis eos officia similique placeat.
14,Módulo 1: Illo non veritatis,1,Hic dolorum labore veritatis blanditiis nesciunt excepturi mollitia inventore error.
14,Módulo 2: Explicabo occaecati cum illum,2,Deserunt voluptatibus quis enim quas vitae.
14,Módulo 3: Inventore temporibus laborum,3,Inventore odit autem eos necessitatibus animi laboriosam.
14,Módulo 4: Natus,4,Id reiciendis mollitia sapiente voluptatem possimus cupiditate tenetur reprehenderit temporibus eaque magni.
15,Módulo 1: A sunt eaque,1,Eum unde voluptatum facere quas quae.
15,Módulo 2: Occaecati,2,Sequi aspernatur soluta modi nihil quas commodi animi quam vel ratione.
15,Módulo 3: Libero numquam,3,Qui est delectus animi cumque sunt nisi ab non iste repudiandae.
15,Módulo 4: Voluptas at impedit,4,Perspiciatis beatae repellat inventore necessitatibus eos recusandae iste recusandae.
16,Módulo 1: Cumque itaque,1,Expedita sunt est maiores labore est minima fuga.
16,Módulo 2: Ipsam hic quam,2,Occaecati sint rem reiciendis accusamus quod consectetur maxime fuga sapiente dolores beatae quisquam.
16,Módulo 3: Eius voluptas,3,Voluptas vitae reiciendis unde nulla suscipit numquam non at culpa similique consequatur minus.
16,Módulo 4: Sit id nobis,4,Odit explicabo quas animi porro itaque esse non iste aspernatur sit quis.
16,Módulo 5: Deleniti expedita,5,Modi incidunt quos alias provident saepe perferendis.
16,Módulo 6: Earum sunt ratione,6,Quidem rem quam nobis mollitia accusamus deserunt mollitia minus.
16,Módulo 7: Corporis magni quod,7,Laudantium placeat iusto quis unde odit neque laudantium ab.
17,Módulo 1: Consequatur nam quae,1,Nulla pariatur maiores voluptate nulla modi minima ducimus autem.
17,Módulo 2: Aspernatur dolor officiis,2,Sit quae quasi facere tempora nulla nam eaque explicabo facilis placeat culpa.
17,Módulo 3: Provident provident iusto,3,Nisi quasi ducimus fugiat consequatur culpa ipsam a voluptatibus saepe voluptatem molestias.
17,Módulo 4: Eum recusandae sequi,4,Facere veritatis sint temporibus quam blanditiis.
17,Módulo 5: Nihil eius expedita,5,Quod similique aliquid dolorem nihil minima tempora.
17,Módulo 6: Dolore et,6,Officia modi nulla quasi quod odit cumque occaecati repellat.
17,Módulo 7: Voluptatum,7,Vitae nostrum ut hic doloremque vitae.
17,Módulo 8: Officiis inventore,8,Eos possimus inventore laboriosam rerum aperiam sint voluptas optio dolorum.
18,Módulo 1: Voluptate fugit,1,Sint magnam eveniet quaerat iusto deserunt nemo voluptatibus.
18,Módulo 2: Earum ut adipisci,2,Tempore molestiae ea asperiores mollitia voluptatum excepturi explicabo saepe sed aperiam.
18,Módulo 3: Odio quo ipsa,3,Molestias labore explicabo necessitatibus occaecati illo id nobis ipsa alias cumque.
18,Módulo 4: Beatae cumque asperiores,4,Odit dicta voluptatibus modi consequatur magnam quas perspiciatis et sequi corporis aliquam saepe.
18,Módulo 5: Ullam maxime,5,Culpa doloribus a ipsa omnis vitae eius repellat ducimus.
18,Módulo 6: Aspernatur voluptas vel,6,Error molestias fugit vitae officiis impedit tenetur ex quaerat harum.
18,Módulo 7: Nulla molestiae,7,Natus repudiandae occaecati quae doloremque pariatur excepturi voluptatum a.
18,Módulo 8: Ex rerum beatae,8,Odit eveniet accusantium aliquid quaerat voluptatum autem officiis itaque at.
19,Módulo 1: Harum saepe,1,Alias sed molestias deserunt ducimus alias quis praesentium facilis mollitia eius facilis.
19,Módulo 2: Quae quam unde,2,Animi maiores animi ratione modi aliquam quaerat nulla voluptatum.
