matricula_id,valor,data_pagamento,metodo_pagamento,status_pagamento
1,255.77,2025-09-23T11:25:28-03:00,Cartão de Crédito,Estornado
2,346.59,2025-07-09T09:26:51-03:00,Pix,Pendente
3,495.43,2025-03-12T19:40:02-03:00,Pix,Estornado
4,492.23,2024-12-03T12:43:05-03:00,Boleto,Aprovado
5,421.48,2025-06-07T08:17:06-03:00,Pix,Pendente
6,96.69,2025-06-25T08:25:27-03:00,Cartão de Crédito,Aprovado
7,448.12,2025-02-03T06:38:22-03:00,Boleto,Recusado
8,84.62,2025-05-11T10:14:17-03:00,Pix,Pendente
9,321.07,2025-08-19T12:04:19-03:00,Cartão de Crédito,Aprovado
10,364.26,2024-10-26T22:18:36-03:00,Pix,Estornado
11,350.57,2025-04-16T09:46:45-03:00,Pix,Recusado
12,495.43,2025-05-06T22:26:18-03:00,Pix,Estornado
13,96.69,2025-08-03T08:57:24-03:00,Pix,Recusado
14,216.28,2025-09-02T15:09:55-03:00,Boleto,Pendente
15,88.91,2025-08-08T23:12:37-03:00,Boleto,Aprovado
16,198.6,2025-10-02T01:23:44-03:00,Cartão de Crédito,Pendente
17,72.21,2025-05-27T06:37:13-03:00,Boleto,Aprovado
18,381.25,2025-06-04T19:25:33-03:00,Cartão de Crédito,Pendente
19,346.59,2025-01-07T15:50:26-03:00,Cartão de Crédito,Recusado
20,492.23,2025-09-17T19:45:28-03:00,Pix,Pendente
21,301.73,2025-10-16T09:49:20-03:00,Boleto,Estornado
22,282.92,2024-11-06T23:57:17-03:00,Cartão de Crédito,Estornado
23,72.21,2025-06-01T10:42:28-03:00,Boleto,Pendente
24,321.07,2025-07-28T06:09:46-03:00,Cartão de Crédito,Recusado
25,193.78,2025-05-19T04:01:58-03:00,Pix,Aprovado
26,145.5,2025-05-21T09:09:24-03:00,Cartão de Crédito,Recusado
27,404.73,2024-12-19T09:39:26-03:00,Boleto,Recusado
28,404.73,2025-07-11T23:29:10-03:00,Boleto,Recusado
29,303.0,2025-07-28T04:12:16-03:00,Cartão de Crédito,Recusado
30,96.69,2025-01-11T12:47:12-03:00,Pix,Recusado
31,493.73,2024-12-20T01:58:05-03:00,Pix,Pendente
32,53.41,2025-06-12T08:07:11-03:00,Boleto,Recusado
33,72.21,2024-11-25T20:40:20-03:00,Pix,Recusado
34,84.62,2025-10-11T23:41:20-03:00,Cartão de Crédito,Pendente
